product_name,description,price,acceptorder,availablenow,availablelater,madeoffer,allowcustomization,images,tags
"Wireless Headphones","Noise-cancelling over-ear headphones",199.99,yes,yes,no,yes,yes,"https://example.com/images/headphones1.jpg, https://example.com/images/headphones2.jpg","wireless, headphones, bluetooth"
"Smartphone","Latest model with OLED screen",799.99,yes,yes,yes,yes,yes,"https://example.com/images/smartphone1.jpg, https://example.com/images/smartphone2.jpg","smartphone, android, OLED"
"Electric Kettle","Stainless steel electric kettle with fast boiling",49.99,yes,yes,no,yes,yes,"https://example.com/images/kettle1.jpg, https://example.com/images/kettle2.jpg","appliances, kettle, electric"
"Wireless Mouse","Ergonomic wireless mouse with adjustable DPI",29.99,yes,yes,no,yes,yes,"https://example.com/images/mouse1.jpg, https://example.com/images/mouse2.jpg","electronics, mouse, wireless"
"Smart Watch","Track fitness, heart rate, and sleep patterns",249.99,yes,yes,yes,yes,yes,"https://example.com/images/smartwatch1.jpg, https://example.com/images/smartwatch2.jpg","wearables, smartwatch, fitness"
"Gaming Laptop","High-performance laptop for gaming with 16GB RAM",1599.99,yes,yes,no,yes,yes,"https://example.com/images/gaming_laptop1.jpg, https://example.com/images/gaming_laptop2.jpg","electronics, laptop, gaming"
"4K Television","Ultra HD smart TV with HDR support",1299.99,yes,yes,yes,yes,yes,"https://example.com/images/4k_tv1.jpg, https://example.com/images/4k_tv2.jpg","electronics, television, 4K"
"Bluetooth Speaker","Portable Bluetooth speaker with 12 hours battery life",89.99,yes,yes,no,yes,yes,"https://example.com/images/bluetooth_speaker1.jpg, https://example.com/images/bluetooth_speaker2.jpg","electronics, speaker, bluetooth"
"Coffee Machine","Automatic coffee maker with espresso capabilities",249.99,yes,yes,no,yes,yes,"https://example.com/images/coffeemachine1.jpg, https://example.com/images/coffeemachine2.jpg","appliances, coffee, espresso"
"Smart Thermostat","Wi-Fi enabled smart thermostat for energy saving",199.99,yes,yes,yes,yes,yes,"https://example.com/images/smart_thermostat1.jpg, https://example.com/images/smart_thermostat2.jpg","appliances, thermostat, smart"
"Wireless Charger","Fast charging pad for all Qi-enabled devices",39.99,yes,yes,no,yes,yes,"https://example.com/images/wireless_charger1.jpg, https://example.com/images/wireless_charger2.jpg","electronics, charging, wireless"
"Fitness Tracker","Wearable device to track steps, calories, and heart rate",129.99,yes,yes,yes,yes,yes,"https://example.com/images/fitness_tracker1.jpg, https://example.com/images/fitness_tracker2.jpg","wearables, fitness, tracker"
"Bluetooth Headset","Noise-cancelling Bluetooth headset with long battery life",89.99,yes,yes,no,yes,yes,"https://example.com/images/bluetooth_headset1.jpg, https://example.com/images/bluetooth_headset2.jpg","electronics, headset, bluetooth"
"Digital Camera","12MP digital camera with Wi-Fi connectivity",499.99,yes,yes,no,yes,yes,"https://example.com/images/digital_camera1.jpg, https://example.com/images/digital_camera2.jpg","electronics, camera, photography"
"Smart Light Bulbs","Smart LED bulbs with color changing features",19.99,yes,yes,no,yes,yes,"https://example.com/images/smart_light1.jpg, https://example.com/images/smart_light2.jpg","appliances, lighting, smart"
"Portable Power Bank","10000mAh power bank for charging on the go",29.99,yes,yes,no,yes,yes,"https://example.com/images/power_bank1.jpg, https://example.com/images/power_bank2.jpg","electronics, power bank, portable"
"Electric Scooter","Compact and foldable electric scooter for city travel",799.99,yes,yes,yes,yes,yes,"https://example.com/images/electric_scooter1.jpg, https://example.com/images/electric_scooter2.jpg","vehicles, scooter, electric"
"Noise Cancelling Earbuds","True wireless noise cancelling earbuds",149.99,yes,yes,no,yes,yes,"https://example.com/images/earbuds1.jpg, https://example.com/images/earbuds2.jpg","electronics, earbuds, wireless"
"4K Action Camera","Waterproof action camera for extreme sports",199.99,yes,yes,no,yes,yes,"https://example.com/images/action_camera1.jpg, https://example.com/images/action_camera2.jpg","electronics, camera, 4K"
